Time,Population,Resources,Slows,Middles,Fasts
sec_533,145,193,51,43,51
sec_534,147,241,50,44,53
sec_535,144,200,49,41,54
sec_536,140,219,50,35,55
sec_537,137,238,50,35,52
sec_538,134,226,47,34,53
sec_539,129,202,48,33,48
sec_540,120,372,44,30,46
sec_541,135,206,49,37,49
sec_542,137,209,48,42,47
sec_543,140,198,49,40,51
sec_544,140,189,52,42,46
sec_545,144,213,57,38,49
sec_546,137,264,58,31,48
sec_547,137,196,55,33,49
sec_548,135,221,55,36,44
sec_549,134,207,53,36,45
sec_550,132,197,56,33,43
sec_551,133,205,53,34,46
sec_552,129,232,51,33,45
sec_553,128,213,49,33,46
sec_554,129,193,50,32,47
sec_555,123,215,47,32,44
sec_556,121,193,44,33,44
sec_557,125,195,47,35,43
sec_558,116,249,42,31,43
sec_559,116,244,40,35,41
sec_560,125,196,43,42,40
sec_561,123,193,43,40,40
sec_562,129,195,41,44,44
sec_563,136,212,41,47,48
sec_564,138,223,42,43,53
sec_565,138,231,45,39,54
sec_566,143,215,51,37,55
sec_567,137,249,50,37,50
sec_568,130,307,50,32,48
sec_569,139,194,52,31,56
sec_570,141,203,51,32,58
sec_571,145,204,49,35,61
sec_572,140,314,45,33,62
sec_573,146,218,43,40,63
sec_574,146,196,45,41,60
sec_575,142,217,53,33,56
sec_576,135,209,52,32,51
sec_577,138,195,54,34,50
sec_578,135,224,56,31,48
sec_579,134,348,53,32,49
sec_580,143,190,52,35,56
sec_581,146,222,53,34,59
sec_582,139,211,54,33,52
sec_583,146,232,58,37,51
sec_584,152,191,62,40,50
sec_585,157,190,63,43,51
sec_586,158,196,60,45,53
sec_587,160,304,62,45,53
sec_588,160,226,62,47,51
sec_589,155,205,61,43,51
sec_590,159,219,63,45,51
sec_591,162,208,66,42,54
sec_592,167,199,67,43,57
sec_593,182,216,63,53,66
sec_594,178,221,65,50,63
sec_595,183,206,63,53,67
sec_596,178,195,63,55,60
sec_597,179,218,62,54,63
sec_598,177,228,67,52,58
sec_599,171,317,66,46,59
sec_600,183,199,74,48,61
sec_601,180,239,72,47,61
sec_602,178,208,76,41,61
sec_603,183,307,73,46,64
sec_604,190,216,74,48,68
sec_605,199,196,75,53,71
sec_606,194,220,73,55,66
sec_607,183,210,70,54,59
sec_608,180,281,66,57,57
sec_609,183,242,66,61,56
sec_610,183,263,68,61,54
sec_611,182,246,69,59,54
sec_612,184,197,71,58,55
sec_613,185,230,68,56,61
sec_614,176,197,65,55,56
sec_615,167,217,66,49,52
sec_616,161,211,64,45,52
sec_617,163,198,66,46,51
sec_618,168,192,68,50,50
sec_619,164,223,66,47,51
sec_620,164,237,65,47,52
sec_621,164,212,66,46,52
sec_622,170,195,67,49,54
sec_623,174,195,66,57,51
sec_624,172,216,65,58,49
sec_625,174,200,64,62,48
sec_626,177,219,68,57,52
sec_627,181,193,73,52,56
sec_628,175,281,72,48,55
sec_629,175,305,69,49,57
sec_630,173,202,68,48,57
sec_631,164,220,63,45,56
sec_632,158,210,64,40,54
sec_633,158,193,62,40,56
sec_634,163,205,63,42,58
sec_635,163,193,61,46,56
sec_636,160,231,59,52,49
sec_637,159,194,55,53,51
sec_638,163,195,58,56,49
sec_639,166,194,62,56,48
sec_640,167,231,61,59,47
sec_641,176,196,63,60,53
sec_642,179,196,62,62,55
sec_643,175,278,61,63,51
sec_644,176,194,62,64,50
sec_645,168,250,58,61,49
sec_646,170,195,58,58,54
sec_647,175,192,65,54,56
sec_648,170,215,67,48,55
sec_649,169,213,71,46,52
sec_650,165,308,73,42,50
sec_651,170,222,73,49,48
sec_652,176,196,72,56,48
sec_653,176,228,70,56,50
sec_654,181,194,66,59,56
sec_655,180,235,66,55,59
sec_656,181,235,67,57,57
sec_657,188,196,72,63,53
sec_658,184,194,72,58,54
sec_659,180,222,68,55,57
sec_660,183,213,68,55,60
sec_661,179,228,66,55,58
sec_662,168,236,63,53,52
sec_663,170,206,64,53,53
sec_664,165,242,60,56,49
sec_665,165,197,62,54,49
sec_666,162,200,58,53,51
sec_667,165,293,59,52,54
sec_668,160,194,57,49,54
sec_669,163,197,59,45,59
sec_670,162,219,61,44,57
sec_671,161,196,63,42,56
sec_672,155,239,57,45,53
sec_673,148,224,54,42,52
sec_674,156,194,55,41,60
sec_675,160,195,56,45,59
sec_676,158,193,59,46,53
sec_677,160,200,62,47,51
sec_678,154,195,58,45,51
sec_679,154,230,62,44,48
sec_680,149,257,60,44,45
sec_681,159,203,63,47,49
sec_682,154,264,60,44,50
